Tyres,Brakes,Suspension,Body and Chassis,Lights,Glazing,Wipers,Doors,Seat Belts,Airbags,Speedometer,Exhaust System,Fuel System,Final Score,Outcome
8,9,4,10,5,5,3,8,8,4,9,1,1,56.30434782608695,Failed
7,10,1,5,2,3,10,7,1,7,2,3,10,55.869565217391305,Failed
1,5,3,9,7,3,2,2,8,6,4,2,6,46.95652173913044,Failed
9,7,3,3,2,4,4,10,7,6,1,8,10,59.78260869565217,Failed
6,4,1,10,3,10,4,5,7,2,6,4,4,48.04347826086956,Failed
8,4,5,2,5,1,5,7,10,9,6,10,2,56.52173913043478,Failed
8,4,8,3,8,1,2,6,2,6,5,2,7,51.95652173913044,Failed
2,2,4,3,7,8,6,7,10,7,4,6,2,49.34782608695652,Failed
5,9,5,3,4,4,2,8,10,5,2,8,6,56.30434782608695,Failed
3,7,2,5,9,7,1,1,7,1,6,4,7,49.130434782608695,Failed
1,7,2,1,2,3,9,3,6,3,8,5,5,39.34782608695652,Failed
10,4,8,2,1,5,5,6,5,8,7,10,9,62.17391304347826,Failed
8,5,2,3,2,8,10,9,1,6,1,6,4,48.91304347826087,Failed
7,7,5,5,4,4,9,7,3,10,9,10,3,62.17391304347826,Failed
8,4,8,8,9,1,1,10,6,8,8,1,5,60.86956521739131,Failed
4,9,7,3,9,4,9,1,6,1,9,1,5,52.391304347826086,Failed
7,6,2,3,8,4,2,10,7,3,3,2,9,54.130434782608695,Failed
3,3,6,9,7,9,2,4,10,9,8,8,3,60.652173913043484,Failed
7,3,2,6,10,10,8,6,5,1,9,3,9,59.56521739130435,Failed
4,10,2,6,1,8,9,1,10,7,6,8,6,59.56521739130435,Failed
1,10,3,10,1,5,2,10,10,7,3,1,7,53.69565217391305,Failed
10,5,3,7,7,3,1,7,9,6,5,6,1,55.434782608695656,Failed
10,9,8,5,5,7,5,1,7,1,7,10,9,66.73913043478261,Failed
1,7,7,3,9,9,7,8,2,5,9,4,3,53.91304347826087,Failed
5,2,10,8,10,10,3,6,2,2,9,9,7,61.52173913043478,Failed
4,7,10,3,4,2,4,10,8,6,5,4,2,50.8695652173913,Failed
5,3,9,7,5,9,7,3,7,10,9,8,2,61.52173913043478,Failed
10,10,2,8,3,5,2,7,9,6,2,9,9,67.6086956521739,Failed
10,7,5,9,1,4,7,3,1,5,4,3,10,56.30434782608695,Failed
7,4,7,4,1,2,5,6,3,10,3,1,5,46.52173913043478,Failed
6,10,4,9,7,5,1,6,5,5,8,5,7,62.82608695652174,Failed
5,5,10,5,2,10,5,5,9,2,6,7,7,56.52173913043478,Failed
9,4,10,8,9,1,1,10,4,3,6,7,6,60.652173913043484,Failed
10,9,10,1,2,4,10,5,9,9,10,3,9,70.86956521739131,Pass
10,4,2,1,3,4,5,9,1,7,2,4,8,49.56521739130435,Failed
8,10,10,4,4,7,8,1,3,6,7,8,4,62.60869565217392,Failed
7,6,10,3,3,8,7,5,9,4,10,1,9,61.30434782608696,Failed
1,9,2,10,8,2,6,8,1,8,9,3,5,55.434782608695656,Failed
8,8,4,1,2,4,2,10,9,6,3,8,5,55.00000000000001,Failed
5,10,10,9,3,3,10,3,3,2,6,8,8,60.21739130434782,Failed
5,3,2,10,5,7,4,9,9,9,1,9,3,57.391304347826086,Failed
2,7,9,1,8,5,4,6,2,3,9,3,5,48.47826086956522,Failed
2,9,2,5,9,2,3,7,1,2,6,7,1,43.04347826086957,Failed
5,6,9,6,10,8,6,4,3,8,5,10,4,65.8695652173913,Failed
1,2,8,1,1,4,5,5,4,2,9,1,6,33.04347826086956,Failed
10,7,6,1,9,7,6,6,4,10,3,8,2,64.78260869565217,Failed
1,2,5,2,9,6,6,4,9,8,8,5,9,56.95652173913044,Failed
8,9,3,1,3,10,4,9,2,3,10,10,1,53.04347826086957,Failed
6,4,1,3,7,6,5,5,3,1,4,8,2,41.52173913043478,Failed
6,7,2,6,5,10,9,10,1,3,3,2,8,54.78260869565217,Failed
5,6,1,10,5,1,9,4,2,1,4,6,6,45.43478260869565,Failed
2,7,2,4,3,5,9,2,3,3,3,4,8,42.82608695652174,Failed
10,2,3,1,2,9,8,5,2,7,6,6,4,49.130434782608695,Failed
10,3,6,3,8,10,6,10,10,5,5,9,8,70.86956521739131,Pass
7,5,9,10,9,8,6,1,9,10,3,2,10,73.69565217391305,Pass
6,7,8,9,2,9,7,4,5,8,7,3,2,57.173913043478265,Failed
2,2,9,1,7,6,4,1,1,6,10,6,1,41.08695652173913,Failed
5,9,8,2,4,10,10,9,6,7,9,6,2,62.39130434782608,Failed
3,9,4,2,9,6,5,4,7,6,8,9,6,61.52173913043478,Failed
5,6,6,1,7,8,10,8,3,6,9,7,3,57.391304347826086,Failed
8,1,3,3,5,1,9,10,6,10,3,8,4,53.69565217391305,Failed
3,3,8,8,1,7,5,9,3,1,10,8,2,43.47826086956522,Failed
2,6,7,7,7,10,8,4,1,7,6,1,6,55.21739130434783,Failed
4,10,4,8,3,5,10,3,3,6,10,4,5,56.086956521739125,Failed
9,2,1,8,4,3,7,1,9,3,8,7,3,48.04347826086956,Failed
6,2,9,9,7,2,1,9,6,1,4,10,3,50.21739130434783,Failed
7,2,10,3,1,4,10,7,4,2,7,8,8,51.08695652173913,Failed
5,3,9,6,10,4,8,4,10,1,5,10,8,62.17391304347826,Failed
6,10,10,1,5,3,2,9,2,4,3,8,9,58.69565217391305,Failed
8,4,8,6,2,6,8,3,3,3,1,4,4,45.65217391304348,Failed
4,1,3,10,6,5,10,6,7,2,1,8,1,44.130434782608695,Failed
6,8,8,7,4,6,6,2,5,8,9,4,10,66.08695652173913,Failed
2,2,6,5,8,7,4,2,1,10,6,8,9,56.52173913043478,Failed
5,3,2,4,4,4,8,7,9,10,1,10,1,50.8695652173913,Failed
9,8,2,1,6,2,7,2,3,8,4,2,5,51.30434782608696,Failed
8,2,7,2,9,2,9,3,9,1,10,5,1,48.69565217391305,Failed
1,4,2,2,5,6,8,8,10,2,6,6,8,48.26086956521739,Failed
2,5,8,5,4,5,2,6,10,2,5,2,6,45.869565217391305,Failed
8,10,2,7,2,6,2,3,2,10,7,2,9,60.0,Failed
7,5,5,3,2,2,10,10,8,6,5,10,2,53.04347826086957,Failed
5,6,10,3,5,8,2,1,2,8,4,8,8,58.04347826086956,Failed
9,1,9,2,7,5,9,9,5,3,3,1,4,49.56521739130435,Failed
7,5,5,8,1,3,8,5,8,8,2,1,8,54.347826086956516,Failed
5,3,9,5,10,10,10,8,1,8,8,8,7,68.69565217391305,Failed
1,5,4,5,9,1,3,1,8,7,7,5,6,50.21739130434783,Failed
3,1,7,10,6,10,10,10,3,9,3,3,5,57.608695652173914,Failed
8,4,10,7,10,6,5,1,4,9,7,7,1,62.60869565217392,Failed
5,6,4,10,1,3,3,1,6,4,9,4,8,49.34782608695652,Failed
7,5,9,7,6,3,2,5,2,8,10,5,8,61.30434782608696,Failed
5,6,5,5,3,5,4,1,2,7,2,6,1,41.95652173913044,Failed
9,10,1,10,1,6,8,1,5,6,1,6,4,55.21739130434783,Failed
1,2,6,9,2,8,6,7,9,9,3,10,10,60.43478260869565,Failed
8,4,2,6,6,5,6,9,2,6,8,10,8,61.08695652173913,Failed
6,4,10,2,7,7,2,5,1,4,9,6,10,57.608695652173914,Failed
7,10,8,4,1,9,7,4,9,5,3,5,8,62.60869565217392,Failed
2,6,1,9,9,8,5,3,5,1,4,7,7,51.95652173913044,Failed
6,5,10,9,5,8,8,2,6,8,7,2,8,65.0,Failed
3,8,7,10,4,9,4,1,10,1,10,10,5,59.34782608695652,Failed
4,5,6,3,5,6,8,4,10,9,7,7,8,62.82608695652174,Failed
3,3,7,10,1,10,4,7,10,3,7,5,10,56.95652173913044,Failed
3,6,1,2,5,9,3,8,4,1,2,3,7,41.95652173913044,Failed
3,10,6,7,4,10,7,3,2,8,9,6,5,61.08695652173913,Failed
1,2,2,8,3,10,10,10,2,1,8,5,2,39.565217391304344,Failed
6,6,4,6,9,1,4,3,3,4,10,5,8,55.65217391304348,Failed
8,8,6,6,1,10,1,3,2,5,4,9,1,50.0,Failed
1,2,4,10,5,3,7,3,9,5,1,8,9,50.8695652173913,Failed
9,6,6,2,4,10,6,10,4,6,1,6,4,57.173913043478265,Failed
6,9,7,4,4,4,1,9,4,1,3,10,1,47.391304347826086,Failed
3,6,4,2,6,9,1,2,2,4,1,7,6,44.565217391304344,Failed
3,4,6,6,3,6,4,5,2,7,8,8,3,47.391304347826086,Failed
4,6,4,3,4,5,1,10,8,9,5,5,3,51.52173913043478,Failed
5,1,3,1,5,3,6,2,8,1,8,9,7,43.26086956521739,Failed
1,2,3,5,4,9,3,4,6,1,9,8,6,42.391304347826086,Failed
9,9,5,9,1,8,2,5,10,1,6,5,6,58.04347826086956,Failed
8,2,5,3,7,2,5,5,6,9,9,3,9,58.69565217391305,Failed
2,9,7,5,1,2,3,1,3,5,2,1,8,41.52173913043478,Failed
9,1,10,9,2,5,2,8,5,6,1,8,3,51.73913043478261,Failed
4,8,7,3,1,9,10,3,5,1,4,3,2,42.391304347826086,Failed
8,2,3,6,10,6,6,9,10,3,1,2,5,55.00000000000001,Failed
1,4,9,2,6,1,2,6,5,9,3,4,2,42.391304347826086,Failed
5,6,4,8,7,2,8,9,8,8,2,9,6,63.26086956521739,Failed
6,1,5,7,8,4,8,9,9,2,10,10,4,57.391304347826086,Failed
7,7,8,1,9,9,9,1,3,4,1,5,4,55.434782608695656,Failed
9,6,1,4,9,10,10,9,2,7,8,4,7,66.73913043478261,Failed
9,3,10,1,2,9,2,9,9,4,2,8,1,50.43478260869565,Failed
2,1,6,8,3,4,4,5,5,5,3,7,7,44.34782608695652,Failed
6,2,6,2,5,7,9,3,1,3,4,1,3,38.69565217391304,Failed
10,8,4,1,10,1,5,5,8,9,5,5,10,70.0,Pass
9,2,6,8,6,9,3,2,4,8,6,5,2,55.00000000000001,Failed
6,3,6,9,10,7,8,4,10,4,5,1,10,64.78260869565217,Failed
5,3,2,9,4,8,9,6,3,5,5,4,1,45.21739130434783,Failed
7,3,7,6,8,5,3,5,3,6,7,10,5,58.26086956521739,Failed
4,9,5,6,2,2,7,5,1,1,4,6,6,43.913043478260875,Failed
2,9,3,6,4,10,7,3,4,5,3,5,2,47.82608695652174,Failed
5,1,2,10,2,2,1,10,8,6,9,4,2,43.04347826086957,Failed
2,7,8,1,6,6,5,6,10,8,10,3,8,61.08695652173913,Failed
9,6,7,9,10,5,4,6,6,3,3,9,5,65.0,Failed
10,3,8,3,3,6,1,3,9,7,9,9,9,63.26086956521739,Failed
5,2,4,8,9,9,8,8,1,5,4,2,3,50.43478260869565,Failed
8,8,8,1,5,4,2,4,10,5,3,10,10,64.56521739130436,Failed
1,8,7,9,1,1,1,1,5,6,1,6,1,38.04347826086957,Failed
2,3,10,10,7,8,1,1,7,9,1,4,8,58.26086956521739,Failed
3,10,4,8,1,2,6,4,2,6,4,5,5,46.95652173913044,Failed
6,4,7,3,6,6,9,2,7,3,9,3,9,56.086956521739125,Failed
1,4,8,10,8,1,3,6,2,4,7,2,10,51.30434782608696,Failed
6,2,9,4,4,4,9,1,2,1,6,6,6,43.913043478260875,Failed
9,5,6,10,7,9,3,2,5,3,2,1,4,53.69565217391305,Failed
10,10,1,4,5,8,8,4,2,2,1,2,4,50.43478260869565,Failed
1,8,10,2,8,4,2,2,1,1,10,6,3,43.913043478260875,Failed
9,2,4,6,8,3,10,7,3,2,6,1,5,49.34782608695652,Failed
3,3,6,10,10,8,3,6,3,7,4,4,3,54.130434782608695,Failed
2,10,10,1,2,4,7,2,2,3,10,10,9,54.130434782608695,Failed
5,8,3,1,1,9,9,3,3,2,9,9,4,47.17391304347826,Failed
1,1,7,1,7,10,8,3,2,6,1,5,10,48.69565217391305,Failed
9,8,10,2,7,8,8,6,3,1,3,5,8,61.52173913043478,Failed
2,5,9,1,3,4,5,1,8,4,10,7,7,48.69565217391305,Failed
5,6,2,5,5,5,2,6,7,3,2,10,3,47.17391304347826,Failed
7,8,3,7,1,4,5,9,7,4,6,8,9,59.130434782608695,Failed
2,1,4,9,3,6,10,5,7,1,1,3,5,38.91304347826087,Failed
6,8,10,7,4,10,4,7,1,8,6,1,5,60.0,Failed
8,4,4,1,6,4,2,10,2,7,5,4,8,53.04347826086957,Failed
5,8,2,4,4,2,7,8,7,7,8,7,1,51.52173913043478,Failed
4,5,5,6,6,6,9,4,6,5,4,5,2,49.56521739130435,Failed
9,4,5,3,2,6,4,5,1,6,5,8,7,51.52173913043478,Failed
9,4,9,2,2,7,7,9,9,8,2,6,1,55.434782608695656,Failed
10,1,2,6,5,5,7,3,8,1,5,9,8,53.2608695652174,Failed
8,8,8,4,5,6,9,10,5,5,2,1,2,55.21739130434783,Failed
4,4,8,5,9,7,5,5,2,1,6,10,9,57.173913043478265,Failed
2,9,7,5,9,3,3,6,9,7,9,2,8,62.82608695652174,Failed
9,2,1,10,4,2,8,3,8,10,6,9,1,55.21739130434783,Failed
8,4,1,10,3,3,2,6,8,10,7,6,3,55.21739130434783,Failed
3,1,1,7,9,1,8,4,2,10,6,5,1,44.34782608695652,Failed
1,4,2,1,6,5,2,8,2,10,4,8,2,42.82608695652174,Failed
6,2,1,7,5,4,10,10,4,1,10,8,8,52.60869565217391,Failed
1,7,2,6,3,9,7,4,7,3,4,2,3,41.95652173913044,Failed
7,7,3,5,3,5,1,7,10,6,2,9,3,53.47826086956522,Failed
9,2,6,1,7,1,1,2,10,3,2,5,5,45.43478260869565,Failed
7,10,3,7,2,10,4,7,8,10,6,3,5,64.56521739130436,Failed
7,5,5,1,4,7,8,5,8,7,9,10,5,60.21739130434782,Failed
10,4,10,9,9,10,1,9,8,4,9,1,2,64.56521739130436,Failed
4,6,2,5,8,3,6,7,9,6,9,4,4,55.00000000000001,Failed
3,3,6,4,3,7,1,1,8,5,8,1,10,47.391304347826086,Failed
7,9,1,6,1,5,2,1,3,9,7,6,6,52.826086956521735,Failed
8,6,4,4,5,3,5,10,2,1,5,8,7,51.73913043478261,Failed
4,2,4,4,8,1,4,5,1,5,1,8,1,37.826086956521735,Failed
3,4,4,5,4,3,4,7,7,3,7,3,7,45.0,Failed
8,10,8,6,6,9,4,1,2,9,10,10,10,76.08695652173914,Pass
1,6,2,3,3,5,9,5,10,1,5,3,2,37.391304347826086,Failed
9,2,7,10,7,3,3,3,5,1,6,4,1,45.869565217391305,Failed
3,6,5,6,5,3,1,6,10,4,8,8,9,56.739130434782616,Failed
1,8,4,2,10,4,9,5,3,5,1,4,9,53.47826086956522,Failed
3,9,7,7,8,1,5,1,3,8,2,5,5,54.347826086956516,Failed
8,1,2,7,6,6,10,9,6,6,9,9,8,63.26086956521739,Failed
4,2,9,9,6,8,2,9,2,10,5,9,6,61.52173913043478,Failed
1,5,10,7,1,4,2,4,1,5,2,9,6,43.26086956521739,Failed
2,6,3,1,2,6,1,5,10,2,3,1,6,37.173913043478265,Failed
10,2,4,7,4,9,5,5,3,4,9,8,2,52.391304347826086,Failed
1,8,9,4,4,10,9,10,9,5,8,7,6,63.26086956521739,Failed
9,2,6,2,9,1,3,7,1,9,4,5,1,48.47826086956522,Failed
8,3,9,7,3,2,10,4,9,9,5,3,4,57.173913043478265,Failed
9,2,3,7,2,9,10,4,3,9,1,5,10,58.913043478260875,Failed
2,9,9,2,7,6,10,6,1,1,7,1,5,48.47826086956522,Failed
6,9,2,10,8,10,6,3,5,9,4,2,1,60.43478260869565,Failed
4,10,9,4,6,1,9,10,4,2,10,5,10,62.39130434782608,Failed
5,9,1,2,5,4,8,1,4,9,3,9,5,54.130434782608695,Failed
6,9,1,9,1,1,6,1,1,10,1,6,10,54.347826086956516,Failed
3,9,7,1,8,3,4,2,5,6,4,3,4,49.34782608695652,Failed
3,8,4,1,5,7,3,7,6,7,3,8,2,49.78260869565217,Failed
1,3,1,9,3,8,5,10,4,1,4,2,3,35.869565217391305,Failed
7,4,7,9,6,9,8,7,6,5,5,10,1,60.43478260869565,Failed
6,5,1,10,7,9,7,1,9,7,1,7,5,60.0,Failed
5,10,3,1,8,1,1,8,6,5,6,7,3,51.95652173913044,Failed
2,4,4,1,6,7,9,5,7,4,3,2,6,45.0,Failed
7,3,8,8,10,7,2,2,8,2,5,4,6,57.173913043478265,Failed
9,7,3,6,5,3,10,3,6,4,1,2,10,57.173913043478265,Failed
8,2,3,1,2,8,3,10,6,7,10,6,3,49.56521739130435,Failed
8,10,8,6,3,4,4,5,2,3,8,1,8,55.869565217391305,Failed
5,7,1,1,1,4,9,3,6,2,2,9,5,41.52173913043478,Failed
2,4,7,3,1,7,6,4,7,9,9,3,10,54.130434782608695,Failed
2,3,6,4,2,3,1,1,2,2,5,8,3,31.08695652173913,Failed
4,7,10,1,8,7,5,9,8,9,7,9,4,66.73913043478261,Failed
8,1,2,4,6,2,8,4,7,3,2,10,6,48.47826086956522,Failed
6,2,1,8,2,6,1,10,2,1,10,10,4,43.04347826086957,Failed
8,2,3,1,3,3,6,7,6,10,1,9,7,53.04347826086957,Failed
10,5,5,2,5,9,7,4,3,3,3,5,4,51.08695652173913,Failed
8,5,6,6,5,7,8,3,2,3,10,7,7,57.826086956521735,Failed
7,6,6,10,8,10,5,8,7,6,5,7,8,71.95652173913044,Pass
8,4,6,6,7,6,10,10,10,5,5,2,3,59.78260869565217,Failed
6,5,5,4,1,1,1,6,7,2,8,8,10,48.91304347826087,Failed
3,4,3,7,6,4,10,1,2,3,4,1,3,38.26086956521739,Failed
8,8,10,10,5,5,6,3,8,9,4,6,1,64.78260869565217,Failed
7,9,7,9,1,2,1,9,5,2,2,6,4,49.130434782608695,Failed
9,4,5,6,2,6,8,4,6,10,3,5,6,58.47826086956521,Failed
7,8,10,1,9,10,1,2,4,1,3,2,6,53.91304347826087,Failed
4,4,7,6,2,4,5,2,1,2,10,8,3,40.65217391304348,Failed
6,1,6,5,5,3,3,9,5,10,4,6,9,56.95652173913044,Failed
5,4,1,4,9,5,8,5,3,2,6,10,4,49.34782608695652,Failed
10,5,2,5,6,3,8,3,4,7,2,7,7,57.391304347826086,Failed
3,10,1,8,4,6,6,3,9,5,10,9,4,58.04347826086956,Failed
2,2,2,1,6,10,6,1,3,5,9,1,9,44.130434782608695,Failed
7,2,5,6,3,1,4,2,6,4,1,4,5,40.21739130434783,Failed
5,8,10,10,7,10,2,9,10,8,1,10,2,70.43478260869566,Pass
1,2,5,9,4,9,7,2,5,9,5,5,3,48.26086956521739,Failed
10,8,8,2,4,7,6,2,6,7,4,2,2,55.21739130434783,Failed
6,1,3,6,10,9,9,1,9,8,9,8,8,66.95652173913044,Failed
2,6,4,3,6,10,8,5,9,8,1,6,5,56.30434782608695,Failed
8,9,4,1,4,7,7,9,2,8,2,5,7,59.34782608695652,Failed
2,2,7,3,9,3,8,2,1,5,9,1,8,46.30434782608695,Failed
8,8,4,6,4,3,2,3,2,10,5,1,7,55.00000000000001,Failed
10,9,6,1,7,5,1,3,5,8,4,1,4,56.52173913043478,Failed
3,2,3,2,8,7,4,1,4,3,9,2,4,39.565217391304344,Failed
6,7,9,8,1,3,2,9,1,8,2,8,4,52.826086956521735,Failed
5,8,9,8,4,5,3,10,4,5,1,2,4,52.60869565217391,Failed
8,10,6,5,10,3,5,6,2,3,3,1,10,61.73913043478261,Failed
6,5,2,10,3,9,2,3,9,1,7,7,3,48.91304347826087,Failed
8,2,9,2,9,6,6,8,3,4,10,2,7,57.391304347826086,Failed
5,3,3,3,3,8,10,7,1,3,2,3,2,37.391304347826086,Failed
8,1,10,9,4,4,7,2,5,8,10,6,9,63.04347826086957,Failed
4,6,10,8,8,4,4,3,10,3,10,3,2,55.21739130434783,Failed
3,4,9,9,5,4,6,4,6,1,8,2,6,48.04347826086956,Failed
5,10,1,8,6,5,4,6,1,3,9,6,9,57.826086956521735,Failed
10,7,1,1,7,4,3,8,8,3,6,3,9,57.608695652173914,Failed
6,7,8,5,6,4,1,9,1,7,8,2,4,53.47826086956522,Failed
4,6,5,1,9,7,9,5,3,6,3,6,10,59.78260869565217,Failed
10,10,4,4,5,10,2,4,5,5,9,2,3,58.69565217391305,Failed
7,1,3,5,8,9,4,7,7,7,8,4,6,58.04347826086956,Failed
4,6,10,3,8,10,10,5,9,6,3,4,5,62.82608695652174,Failed
6,2,1,1,4,10,10,1,10,10,8,5,1,50.8695652173913,Failed
6,2,10,2,1,1,1,10,3,8,6,2,9,47.391304347826086,Failed
7,5,5,7,10,6,2,7,4,3,7,6,8,61.08695652173913,Failed
7,3,9,6,1,1,7,5,3,4,6,1,5,42.608695652173914,Failed
10,1,5,9,1,3,10,6,2,2,5,3,6,45.21739130434783,Failed
8,8,9,2,5,9,9,8,6,5,10,4,5,65.0,Failed
4,9,3,9,4,2,8,8,7,3,7,7,3,53.2608695652174,Failed
1,8,7,10,2,8,2,4,1,6,9,5,10,56.086956521739125,Failed
9,4,3,10,7,8,1,1,7,2,1,3,4,49.78260869565217,Failed
3,3,7,3,4,10,3,10,2,2,5,9,5,46.52173913043478,Failed
2,9,5,7,6,6,8,6,9,4,4,6,7,59.78260869565217,Failed
10,2,4,5,4,3,10,10,4,6,9,4,3,52.826086956521735,Failed
5,6,4,2,8,10,1,9,5,5,4,1,8,55.21739130434783,Failed
6,4,8,7,2,7,10,8,3,2,3,6,7,52.17391304347826,Failed
4,9,7,5,1,4,1,4,6,8,8,4,3,49.78260869565217,Failed
5,6,3,5,4,1,5,8,7,4,7,2,7,48.69565217391305,Failed
9,7,3,5,3,5,8,4,6,9,1,6,6,58.913043478260875,Failed
7,2,1,4,1,2,1,8,10,9,10,6,10,54.78260869565217,Failed
2,4,1,3,6,6,9,5,9,2,2,9,4,44.78260869565218,Failed
7,6,5,4,9,10,5,3,8,1,6,2,10,60.86956521739131,Failed
1,5,2,10,1,9,5,9,9,10,3,1,8,54.78260869565217,Failed
7,9,6,8,2,10,7,4,5,4,6,7,6,61.30434782608696,Failed
9,4,4,1,10,4,2,4,9,2,6,3,8,54.78260869565217,Failed
2,10,8,1,7,3,7,10,3,4,10,9,3,55.65217391304348,Failed
1,5,5,5,6,4,9,10,3,5,4,5,1,43.913043478260875,Failed
10,1,2,1,4,1,3,5,4,5,5,2,9,43.69565217391304,Failed
8,9,1,8,9,2,5,9,7,8,2,4,5,63.69565217391304,Failed
9,5,1,8,4,8,6,1,6,2,9,9,1,50.65217391304348,Failed
1,10,2,10,4,6,7,7,8,10,10,7,9,68.91304347826087,Failed
4,1,7,3,5,7,7,10,8,4,10,4,3,49.130434782608695,Failed
6,5,2,6,7,3,2,9,10,7,5,10,3,57.608695652173914,Failed
3,2,4,5,6,9,7,9,10,8,7,1,4,53.91304347826087,Failed
8,10,7,9,9,5,5,1,6,8,10,8,8,76.52173913043478,Pass
6,9,8,4,1,4,7,5,2,8,9,3,8,57.608695652173914,Failed
5,8,9,4,4,2,7,7,10,7,7,8,6,63.26086956521739,Failed
5,7,8,1,10,6,9,4,10,7,10,8,4,67.3913043478261,Failed
6,6,10,2,2,4,2,9,4,6,5,3,5,49.130434782608695,Failed
4,2,7,4,2,2,5,3,5,8,8,3,9,47.82608695652174,Failed
2,4,10,6,7,2,8,8,5,9,1,5,3,52.826086956521735,Failed
2,3,8,9,2,8,8,4,10,9,2,7,10,61.73913043478261,Failed
4,2,10,8,4,10,7,9,2,6,9,10,6,60.86956521739131,Failed
2,3,5,9,7,10,1,7,6,10,8,5,3,56.95652173913044,Failed
8,5,5,5,4,5,9,3,2,1,9,3,4,46.08695652173913,Failed
8,5,10,4,4,3,4,4,8,4,10,5,4,54.565217391304344,Failed
9,6,5,1,7,7,3,2,5,6,7,1,6,54.565217391304344,Failed
8,3,10,4,7,10,1,6,10,10,5,3,3,63.04347826086957,Failed
3,9,10,3,10,5,9,2,3,3,5,10,9,64.13043478260869,Failed
5,10,6,9,1,4,6,8,9,5,4,3,5,56.30434782608695,Failed
5,9,5,2,9,6,4,1,4,9,1,9,2,56.52173913043478,Failed
